No.	User	Edit count
340	SoxBot IV	19,086
341	Vina-iwbot	19,059
342	Seedbot	18,964
343	RoboMaxCyberSem	18,904
344	Zwobot	18,852
345	JaGaBot	18,801
346	Lowercase sigmabot II	18,792
347	Arbitrarily0Bot	18,588
348	Rschen7754bot	18,571
349	Grafikbot	18,549
350	Taxobot 1	18,394
351	Bibcode Bot	18,309
352	VWBot	18,072
353	MerlLinkBot	17,967
354	SQLBot-Hello	17,883
355	CobraBot	17,825
356	Locobot	17,725
357	LordAnubisBOT	17,720
358	MBisanzBot	17,711
359	MenoBot	17,450
360	Kyle the bot	17,245
361	LostBot	17,136
362	PeerReviewBot	17,018
363	EdoBot	16,918
364	SelketBot	16,870
365	Bot1058	16,783
366	Justincheng12345-bot	16,735
367	UnCatBot	16,725
368	Sagabot	16,603
369	MifterBot	16,469
370	XLerateBot	16,419
371	XyBot	16,275
372	Roboto de Ajvol	16,250
373	Alph Bot	16,181
374	NW557Bot	16,135
375	NjardarBot	16,091
376	Giggabot	15,945
377	RobotE	15,723
378	KnightRider	15,538
379	DorganBot	15,527
380	KocjoBot	15,464
381	WPArkansas Bot	15,268
382	GrinBot	15,203
383	Fluxbot	14,906
384	MondalorBot	14,786
385	CounterVandalismBot	14,742
386	Citation bot 2	14,513
387	MauritsBot	14,490
388	WeggeBot	14,370
389	FlBot	14,324
390	Jumbuck	14,218
391	NetBot	14,155
392	Zorglbot	13,933
393	MSBOT	13,809
394	KevinalewisBot	13,601
395	Lucasbfrbot	13,400
396	RebelRobot	13,364
397	Taxobot 7	13,117
398	JdforresterBot	13,077
399	RaptureBot	13,074
400	DixonDBot	13,020
401	Chem-awb	12,956
402	ZhBot	12,919
403	CitationCleanerBot	12,883
404	Tsca.bot	12,824
405	Anybot	12,812
406	NationalRegisterBot	12,770
407	Bot0612	12,750
408	Almabot	12,592
409	Tom's Tagging Bot	12,564
410	LinkFA-Bot	12,478
411	ArkyBot	12,325
412	TechBot	12,222
413	AccReqBot	12,203
414	Mairibot	12,178
415	CopyToWiktionaryBot	12,043
416	BotKung	11,969
417	RoryBot	11,939
418	SD5bot	11,897
419	Bota47	11,897
420	HiW-Bot	11,796
421	MoohanBOT	11,687
422	CocuBot	11,636
423	Ligulembot	11,449
424	HersfoldArbClerkBot	11,426
425	Acebot	11,380
426	RockfangBot	11,130
427	Gerakibot	11,089
428	Chlewbot	11,087
429	AkhtaBot	10,976
430	Crypticbot	10,967
431	SteenthIWbot	10,638
432	Luasóg bot	10,630
433	Jitse's bot	10,573
434	SamatBot	10,493
435	Kasirbot	10,480
436	MenoBot II	10,443
437	MessageDeliveryBot	10,284
438	Syrcatbot	10,115
439	RileyBot	10,054
440	HerculeBot	9,995
441	Cerabot	9,951
442	CrimsonBot	9,941
443	HBC AIV helperbot11	9,852
444	YpnBot	9,805
445	StigBot	9,793
446	KslotteBot	9,759
447	Mentibot	9,642
448	John Bot III	9,588
449	DarafshBot	9,514
450	Anchor Link Bot	9,446
451	BHGbot	9,304
452	McM.bot	9,247
453	ReferenceBot	8,999
454	StatisticianBot	8,974
455	Chris G Bot	8,968
456	Louperibot	8,903
457	El bot de la dieta	8,891
458	HtonlBot	8,869
459	JCbot	8,820
460	Peelbot	8,810
461	VVVBot	8,665
462	Pageview bot	8,659
463	WebCiteBOT	8,639
464	Wherebot	8,585
465	GargoyleBot	8,480
466	IluvatarBot	8,471
467	BrokenAnchorBot	8,349
468	HotArticlesBot	8,276
469	KittyBot	8,201
470	ENewsBot	8,161
471	EarwigBot I	8,124
472	VixDaemonBot	8,090
473	Pokbot	8,088
474	FlagBot	8,062
475	SpellingBot	7,955
476	PDFbot	7,943
477	LatitudeBot	7,911
478	Aksibot	7,808
479	Estirabot	7,801
480	Maksim-bot	7,747
481	Nallimbot	7,620
482	Image-req-proj-bot	7,605
483	AFD Bot	7,549
484	GurchBot	7,421
485	ImageBacklogBot	7,297
486	ClueBot VI	7,185
487	Uncle G's 'bot	7,072
488	PNG crusade bot	7,042
489	TPO-bot	7,022
490	DomBot	6,861
491	Ebrambot	6,852
492	Margosbot	6,843
493	StatusBot	6,841
494	Jotterbot	6,715
